ticker,market_cap,sector,industry,meta_updated_at
MAHSCOOTER.NS,140971786240.0,Financial Services,Asset Management,2026-03-25
MAHSEAMLES.NS,76238872576.0,Basic Materials,Steel,2026-03-25
M&MFIN.NS,440950947840.0,Financial Services,Credit Services,2026-03-25
M&M.NS,3782089637888.0,Consumer Cyclical,Auto Manufacturers,2026-03-25
MANAPPURAM.NS,221765910528.0,Financial Services,Credit Services,2026-03-25
MRPL.NS,327418183680.0,Energy,Oil & Gas Refining & Marketing,2026-03-25
MANKIND.NS,832096763904.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
MARICO.NS,977004724224.0,Consumer Defensive,Household & Personal Products,2026-03-25
MARUTI.NS,4006431948800.0,Consumer Cyclical,Auto Manufacturers,2026-03-25
MFSL.NS,558021214208.0,Financial Services,Insurance - Life,2026-03-25
MAXHEALTH.NS,952115331072.0,Healthcare,Medical Care Facilities,2026-03-25
MAZDOCK.NS,922933460992.0,Industrials,Aerospace & Defense,2026-03-25
METROPOLIS.NS,90021724160.0,Healthcare,Diagnostics & Research,2026-03-25
MINDACORP.NS,123234967552.0,Consumer Cyclical,Auto Parts,2026-03-25
MSUMI.NS,252003155968.0,Consumer Cyclical,Auto Parts,2026-03-25
MOTILALOFS.NS,415267160064.0,Financial Services,Capital Markets,2026-03-25
MPHASIS.NS,407472504832.0,Technology,Information Technology Services,2026-03-25
MCX.NS,633816481792.0,Financial Services,Financial Data & Stock Exchanges,2026-03-25
MUTHOOTFIN.NS,1311292784640.0,Financial Services,Credit Services,2026-03-25
NATCOPHARM.NS,175498231808.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
NBCC.NS,229257003008.0,Industrials,Engineering & Construction,2026-03-25
NCC.NS,89003532288.0,Industrials,Engineering & Construction,2026-03-25
NHPC.NS,785320771584.0,Utilities,Utilities - Renewable,2026-03-25
NLCINDIA.NS,371895959552.0,Utilities,Utilities - Regulated Electric,2026-03-25
NMDC.NS,684706693120.0,Basic Materials,Steel,2026-03-25
NSLNISP.NS,104616951808.0,Basic Materials,Steel,2026-03-25
NTPCGREEN.NS,816511320064.0,Utilities,Utilities - Renewable,2026-03-25
NTPC.NS,3681339310080.0,Utilities,Utilities - Regulated Electric,2026-03-25
NH.NS,345960284160.0,Healthcare,Medical Care Facilities,2026-03-25
NATIONALUM.NS,672036421632.0,Basic Materials,Aluminum,2026-03-25
NAVA.NS,162343698432.0,Industrials,Conglomerates,2026-03-25
NAVINFLUOR.NS,324212162560.0,Basic Materials,Chemicals,2026-03-25
NESTLEIND.NS,2322654560256.0,Consumer Defensive,Packaged Foods,2026-03-25
NETWEB.NS,186937393152.0,Technology,Computer Hardware,2026-03-25
NEULANDLAB.NS,158171709440.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
NEWGEN.NS,62017171456.0,Technology,Software - Infrastructure,2026-03-25
NAM-INDIA.NS,550885523456.0,Financial Services,Asset Management,2026-03-25
NIVABUPA.NS,134568411136.0,Financial Services,Insurance - Life,2026-03-25
NUVAMA.NS,213572190208.0,Financial Services,Asset Management,2026-03-25
NUVOCO.NS,109118758912.0,Basic Materials,Building Materials,2026-03-25
OBEROIRLTY.NS,541266542592.0,Real Estate,Real Estate - Development,2026-03-25
ONGC.NS,3404223741952.0,Energy,Oil & Gas Integrated,2026-03-25
OIL.NS,766728536064.0,Energy,Oil & Gas Integrated,2026-03-25
OLAELEC.NS,100709883904.0,Consumer Cyclical,Auto Manufacturers,2026-03-25
OLECTRA.NS,88552800256.0,Industrials,Farm & Heavy Construction Machinery,2026-03-25
PAYTM.NS,676784308224.0,Technology,Software - Infrastructure,2026-03-25
ONESOURCE.NS,143710945280.0,Healthcare,Biotechnology,2026-03-25
OFSS.NS,577204125696.0,Technology,Software - Infrastructure,2026-03-25
POLICYBZR.NS,682472177664.0,Financial Services,Insurance Brokers,2026-03-25
PCBL.NS,105723404288.0,Basic Materials,Specialty Chemicals,2026-03-25
PGEL.NS,147608240128.0,Technology,Electronic Components,2026-03-25
PIIND.NS,445400678400.0,Basic Materials,Agricultural Inputs,2026-03-25
PNBHOUSING.NS,209924800512.0,Financial Services,Mortgage Finance,2026-03-25
PTCIL.NS,248576458752.0,Industrials,Metal Fabrication,2026-03-25
PVRINOX.NS,94615658496.0,Communication Services,Entertainment,2026-03-25
PAGEIND.NS,372653654016.0,Consumer Cyclical,Apparel Manufacturing,2026-03-25
PATANJALI.NS,527405907968.0,Consumer Defensive,Packaged Foods,2026-03-25
PERSISTENT.NS,767944359936.0,Technology,Information Technology Services,2026-03-25
PETRONET.NS,374475030528.0,Energy,Oil & Gas Refining & Marketing,2026-03-25
PFIZER.NS,216981487616.0,Healthcare,Drug Manufacturers - General,2026-03-25
PHOENIXLTD.NS,562523537408.0,Real Estate,Real Estate - Diversified,2026-03-25
PIDILITIND.NS,1391897083904.0,Basic Materials,Specialty Chemicals,2026-03-25
PPLPHARMA.NS,190280531968.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
POLYMED.NS,131192700928.0,Healthcare,Medical Instruments & Supplies,2026-03-25
POLYCAB.NS,1091807019008.0,Industrials,Electrical Equipment & Parts,2026-03-25
POONAWALLA.NS,316529147904.0,Financial Services,Credit Services,2026-03-25
PFC.NS,1338521288704.0,Financial Services,Credit Services,2026-03-25
POWERGRID.NS,2788786176000.0,Utilities,Utilities - Regulated Electric,2026-03-25
PRAJIND.NS,60410171392.0,Industrials,Engineering & Construction,2026-03-25
PREMIERENE.NS,409478299648.0,Technology,Solar,2026-03-25
PRESTIGE.NS,526093910016.0,Real Estate,Real Estate - Diversified,2026-03-25
PGHH.NS,312499503104.0,Consumer Defensive,Household & Personal Products,2026-03-25
PNB.NS,1264773234688.0,Financial Services,Banks - Regional,2026-03-25
RRKABEL.NS,154450804736.0,Industrials,Electrical Equipment & Parts,2026-03-25
RBLBANK.NS,189574774784.0,Financial Services,Banks - Regional,2026-03-25
RECLTD.NS,863160107008.0,Financial Services,Credit Services,2026-03-25
RHIM.NS,73638412288.0,Industrials,Metal Fabrication,2026-03-25
RITES.NS,93092945920.0,Industrials,Engineering & Construction,2026-03-25
RADICO.NS,363362451456.0,Consumer Defensive,Beverages - Wineries & Distilleries,2026-03-25
RVNL.NS,568014209024.0,Industrials,Engineering & Construction,2026-03-25
RAILTEL.NS,87022444544.0,Communication Services,Telecom Services,2026-03-25
RAINBOW.NS,120058306560.0,Healthcare,Medical Care Facilities,2026-03-25
RKFORGE.NS,92199714816.0,Industrials,Metal Fabrication,2026-03-25
RCF.NS,63863418880.0,Basic Materials,Agricultural Inputs,2026-03-25
REDINGTON.NS,166557040640.0,Technology,Information Technology Services,2026-03-25
RELIANCE.NS,19278359166976.0,Energy,Oil & Gas Refining & Marketing,2026-03-25
RELINFRA.NS,30629257216.0,Utilities,Utilities - Independent Power Producers,2026-03-25
RPOWER.NS,94543724544.0,Utilities,Utilities - Independent Power Producers,2026-03-25
SBFC.NS,94803116032.0,Financial Services,Credit Services,2026-03-25
SBICARD.NS,669736239104.0,Financial Services,Credit Services,2026-03-25
SBILIFE.NS,1869462634496.0,Financial Services,Insurance - Life,2026-03-25
SJVN.NS,268994461696.0,Utilities,Utilities - Renewable,2026-03-25
